date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:21:32	11288/11288	---M--	200	added ('OK')	text/html	date:Fri,%2016%20Aug%202024%2002:20:22%20GMT	https://sefforukraine.sef.pt/CheckDoc/ValidacaoCertificado.aspx	C:/My%20Web%20Sites/abdel/sefforukraine.sef.pt/CheckDoc/ValidacaoCertificado.html	(from )
03:21:32	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2016%20Aug%202024%2002:20:22%20GMT	https://sefforukraine.sef.pt/robots.txt		(from )
03:21:33	57873/57873	---M-Z	200	added ('OK')	text/css	etag:%2203ba4b68b36d81:0%22	https://sefforukraine.sef.pt/Content/fontawesome.min.css	C:/My%20Web%20Sites/abdel/sefforukraine.sef.pt/Content/fontawesome.min.css	(from https://sefforukraine.sef.pt/CheckDoc/ValidacaoCertificado.aspx)
03:21:34	1316/1316	---M-Z	200	added ('OK')	text/css	etag:%22fc64705c9636d81:0%22	https://sefforukraine.sef.pt/Content/myFooter.css	C:/My%20Web%20Sites/abdel/sefforukraine.sef.pt/Content/myFooter.css	(from https://sefforukraine.sef.pt/CheckDoc/ValidacaoCertificado.aspx)
03:21:34	205484/205484	---M-Z	200	added ('OK')	text/css	etag:%22055beed1e2ed81:0%22	https://sefforukraine.sef.pt/Content/bootstrap.css	C:/My%20Web%20Sites/abdel/sefforukraine.sef.pt/Content/bootstrap.css	(from https://sefforukraine.sef.pt/CheckDoc/ValidacaoCertificado.aspx)
03:21:35	6529/6529	---M-Z	200	added ('OK')	text/css	etag:%22807e89bb5e3dd81:0%22	https://sefforukraine.sef.pt/Content/Site.css	C:/My%20Web%20Sites/abdel/sefforukraine.sef.pt/Content/Site.css	(from https://sefforukraine.sef.pt/CheckDoc/ValidacaoCertificado.aspx)
03:21:36	288580/288580	---M-Z	200	added ('OK')	application/javascript	etag:%22804451b75431d81:0%22	https://sefforukraine.sef.pt/Scripts/jquery-3.6.0.js	C:/My%20Web%20Sites/abdel/sefforukraine.sef.pt/Scripts/jquery-3.6.0.js	(from https://sefforukraine.sef.pt/CheckDoc/ValidacaoCertificado.aspx)
03:21:36	148892/148892	---M-Z	200	added ('OK')	application/javascript	etag:%22803792e91e2ed81:0%22	https://sefforukraine.sef.pt/Scripts/bootstrap.js	C:/My%20Web%20Sites/abdel/sefforukraine.sef.pt/Scripts/bootstrap.js	(from https://sefforukraine.sef.pt/CheckDoc/ValidacaoCertificado.aspx)
03:21:37	192624/192624	---M-Z	200	added ('OK')	application/javascript	etag:%228074f65d9d35d81:0%22	https://sefforukraine.sef.pt/Scripts/inputmask/jquery.inputmask.js	C:/My%20Web%20Sites/abdel/sefforukraine.sef.pt/Scripts/inputmask/jquery.inputmask.js	(from https://sefforukraine.sef.pt/CheckDoc/ValidacaoCertificado.aspx)
03:21:38	9269/9269	---M--	200	added ('OK')	image/png	etag:%2221f4ee2d29da1:0%22	https://sefforukraine.sef.pt/Images/AIMA_H_B.png	C:/My%20Web%20Sites/abdel/sefforukraine.sef.pt/Images/AIMA_H_B.png	(from https://sefforukraine.sef.pt/CheckDoc/ValidacaoCertificado.aspx)
03:21:39	930/930	---MC-	200	added ('OK')	text/javascript	date:Fri,%2016%20Aug%202024%2002:20:29%20GMT	https://www.google.com/recaptcha/api.js?onload=renderRecaptcha&render=explicit	C:/My%20Web%20Sites/abdel/www.google.com/recaptcha/api8c9b.js	(from https://sefforukraine.sef.pt/CheckDoc/ValidacaoCertificado.aspx)
03:21:39	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2016%20Aug%202024%2002:20:30%20GMT	https://sefforukraine.sef.pt/images/checkmark_16.png	C:/My%20Web%20Sites/abdel/sefforukraine.sef.pt/images/checkmark_16.c.delayed	(from https://sefforukraine.sef.pt/Content/Site.css)
03:21:41	298287/298287	---M--	200	added ('OK')	image/png	etag:%22f2ae3e6fb33d81:0%22	https://sefforukraine.sef.pt/images/bg.png	C:/My%20Web%20Sites/abdel/sefforukraine.sef.pt/images/bg.png	(from https://sefforukraine.sef.pt/CheckDoc/ValidacaoCertificado.aspx)
03:21:42	1196706/1196706	---M-Z	200	added ('OK')	application/javascript	etag:%220e141b48b36d81:0%22	https://sefforukraine.sef.pt/Scripts/fontawesome/all.min.js	C:/My%20Web%20Sites/abdel/sefforukraine.sef.pt/Scripts/fontawesome/all.min.js	(from https://sefforukraine.sef.pt/CheckDoc/ValidacaoCertificado.aspx)
